loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
4423,5,Graduate,Yes,2950000,6920000,8,410,3380000,14740000,18970000.0,11830000,Rejected
4424,4,Not Graduate,Yes,1920000,4660000,18,438,2640000,13770000,1620000.0,11920000,Rejected
4425,4,Graduate,No,5880000,3060000,10,512,10920000,1330000,9330000.0,14770000,Rejected
4426,3,Graduate,Yes,8050000,2250000,12,734,8280000,3020000,9880000.0,9680000,Approved
4427,2,Not Graduate,No,8110000,3550000,8,762,19010000,6140000,12210000.0,7510000,Approved
4428,2,Graduate,Yes,1670000,940000,2,580,18800000,11870000,25010000.0,360000,Approved
4429,0,Graduate,Yes,8270000,5750000,8,555,18460000,11380000,8410000.0,18360000,Approved
4430,1,Not Graduate,Yes,4500000,1220000,14,545,15170000,18240000,20290000.0,4430000,Rejected
4431,5,Graduate,No,2540000,260000,6,569,9420000,9150000,27870000.0,8760000,Approved
4432,2,Not Graduate,No,210000,4380000,12,572,15150000,1200000,27430000.0,1040000,Approved
4433,1,Graduate,Yes,8300000,5710000,20,715,7500000,4970000,21820000.0,18280000,Approved
4434,4,Graduate,No,5230000,3770000,20,519,2420000,24750000,27230000.0,520000,Rejected
4435,4,Graduate,No,4920000,5100000,2,387,3770000,22260000,9340000.0,15750000,Rejected
4436,3,Graduate,No,2540000,560000,8,731,9910000,13800000,7840000.0,19490000,Approved
4437,5,Not Graduate,No,5140000,3350000,20,629,13240000,12980000,17990000.0,15080000,Approved
4438,5,Not Graduate,Yes,5390000,1510000,2,574,490000,15550000,28470000.0,12780000,Approved
4439,2,Graduate,No,2650000,3380000,12,713,14340000,14900000,3440000.0,7110000,Approved
4440,1,Not Graduate,Yes,1580000,2090000,6,342,9380000,16870000,20570000.0,4140000,Rejected
4441,4,Graduate,No,8660000,5230000,18,375,4000000,620000,11430000.0,9450000,Rejected
4442,3,Not Graduate,No,5360000,3760000,10,468,7360000,6340000,22940000.0,3610000,Rejected
4443,0,Graduate,Yes,4680000,4550000,10,483,13220000,23220000,12740000.0,880000,Rejected
4444,4,Graduate,No,7230000,950000,4,704,13500000,19180000,25310000.0,7840000,Approved
4445,2,Graduate,No,2460000,490000,10,345,16390000,18100000,22900000.0,18650000,Rejected
4446,5,Not Graduate,No,8700000,6770000,18,312,1440000,18660000,4290000.0,540000,Rejected
4447,0,Not Graduate,No,8740000,1800000,8,621,3720000,2840000,14550000.0,13080000,Approved
4448,0,Not Graduate,No,5290000,960000,4,372,12440000,9240000,440000.0,1550000,Rejected
4449,4,Graduate,Yes,5640000,5000000,10,315,3310000,5830000,28410000.0,10050000,Rejected
4450,5,Not Graduate,Yes,4870000,6670000,10,751,2040000,11820000,29610000.0,19770000,Approved
4451,3,Graduate,Yes,6940000,4070000,18,514,11540000,1590000,28330000.0,12940000,Rejected
4452,3,Not Graduate,No,1070000,6160000,10,391,4100000,2540000,1950000.0,16860000,Rejected
4453,2,Graduate,Yes,2750000,3640000,12,335,5850000,9760000,11030000.0,13140000,Rejected
4454,0,Graduate,Yes,7430000,5280000,16,887,1770000,18560000,21700000.0,7290000,Approved
4455,2,Graduate,Yes,3050000,2370000,16,592,8870000,8680000,13280000.0,15470000,Approved
4456,0,Graduate,No,3010000,790000,12,802,19200000,1290000,590000.0,9000000,Approved
4457,3,Not Graduate,No,4610000,790000,6,554,630000,24750000,16470000.0,18230000,Approved
4458,2,Graduate,No,8230000,260000,8,454,4740000,12170000,16370000.0,13200000,Rejected
4459,0,Graduate,No,1620000,1850000,12,791,14670000,15540000,28100000.0,3390000,Approved
4460,1,Not Graduate,Yes,3320000,5900000,12,766,7140000,2190000,11390000.0,11430000,Approved
4461,4,Not Graduate,Yes,2790000,500000,10,366,8260000,8040000,15400000.0,17730000,Rejected
4462,4,Graduate,No,850000,4810000,18,671,17070000,15690000,22850000.0,12610000,Approved
4463,3,Not Graduate,Yes,1780000,5270000,2,399,1750000,19140000,9780000.0,5550000,Rejected
4464,1,Graduate,Yes,6040000,400000,16,823,6190000,13940000,12970000.0,250000,Approved
4465,2,Not Graduate,Yes,1040000,2540000,6,734,980000,2290000,15490000.0,14520000,Approved
4466,0,Graduate,No,1650000,3520000,8,389,19830000,3040000,16790000.0,14850000,Rejected
4467,4,Not Graduate,No,8730000,590000,2,743,1460000,8370000,6110000.0,8040000,Approved
4468,3,Graduate,Yes,6060000,4870000,2,357,18050000,18320000,7090000.0,14750000,Approved
4469,3,Graduate,No,7660000,4500000,16,688,12340000,17030000,4550000.0,5750000,Approved
4470,4,Not Graduate,Yes,750000,2330000,14,853,4100000,9910000,22650000.0,7150000,Approved
4471,3,Not Graduate,No,8600000,4240000,16,817,14410000,12510000,7490000.0,9600000,Approved
4472,2,Graduate,Yes,7920000,6840000,2,774,13170000,17870000,17990000.0,17510000,Approved
4473,5,Not Graduate,Yes,8120000,990000,14,563,12400000,23390000,19580000.0,17320000,Approved
4474,3,Graduate,Yes,7060000,3030000,2,543,17500000,24750000,4640000.0,19450000,Rejected
4475,0,Not Graduate,No,8910000,800000,18,852,15760000,14590000,19420000.0,7560000,Approved
4476,2,Graduate,Yes,4080000,360000,20,856,3590000,21170000,1270000.0,15130000,Approved
4477,4,Graduate,Yes,2440000,480000,6,687,14860000,20790000,18480000.0,15840000,Approved
4478,1,Graduate,No,1230000,4150000,2,394,17000000,6760000,26660000.0,1080000,Rejected
4479,5,Not Graduate,No,620000,1830000,18,709,6280000,3940000,2160000.0,6510000,Approved
4480,2,Graduate,No,4420000,2450000,4,359,5980000,13300000,15950000.0,2690000,Approved
4481,4,Not Graduate,No,8360000,2910000,12,631,3170000,20810000,6170000.0,1300000,Approved
4482,1,Not Graduate,Yes,5230000,4000000,10,402,7280000,1030000,21200000.0,16120000,Rejected
4483,3,Graduate,No,2230000,1160000,7,489,6460000,18630000,16960000.0,10980000,Rejected
4484,2,Graduate,No,8580000,6120000,6,895,17580000,1000000,19030000.0,15160000,Approved
4485,2,Graduate,Yes,480000,1120000,14,845,16870000,20180000,3320000.0,11910000,Approved
4486,2,Not Graduate,No,1730000,300000,12,492,340000,2210000,16610000.0,11810000,Rejected
4487,4,Not Graduate,No,170000,1390000,18,385,19800000,13970000,26540000.0,1030000,Rejected
4488,3,Graduate,Yes,6550000,750000,2,741,2330000,12710000,7720000.0,11270000,Approved
4489,0,Not Graduate,Yes,5990000,3070000,8,428,5610000,5790000,6500000.0,19790000,Rejected
4490,4,Not Graduate,Yes,1310000,4470000,14,364,8270000,15850000,27080000.0,16080000,Rejected
4491,1,Not Graduate,Yes,5300000,2350000,18,827,7740000,14850000,27440000.0,19690000,Approved
4492,4,Graduate,Yes,4610000,3940000,10,842,8570000,3560000,8770000.0,8140000,Approved
4493,3,Not Graduate,No,8820000,4330000,16,660,3700000,18860000,2230000.0,1640000,Approved
4494,3,Not Graduate,Yes,7850000,4620000,6,543,12230000,15030000,19020000.0,7710000,Rejected
4495,4,Graduate,Yes,3210000,6660000,8,598,12990000,8470000,19550000.0,9110000,Approved
4496,2,Not Graduate,No,4110000,1420000,6,669,18900000,5270000,14480000.0,14260000,Approved
4497,3,Graduate,Yes,2680000,2710000,14,632,6470000,19160000,4620000.0,14570000,Rejected
4498,5,Graduate,Yes,1610000,920000,20,840,960000,11460000,9520000.0,11780000,Approved
4499,0,Not Graduate,Yes,6840000,4150000,12,663,6220000,12190000,840000.0,13430000,Approved
4500,1,Graduate,Yes,2090000,4810000,6,798,920000,7390000,4290000.0,7350000,Approved
4501,1,Not Graduate,Yes,5790000,5930000,12,859,2730000,2430000,20010000.0,6690000,Approved
4502,4,Not Graduate,No,7820000,6760000,18,593,7940000,2930000,19150000.0,9480000,Rejected
4503,0,Not Graduate,Yes,4800000,2120000,8,507,16010000,9280000,20260000.0,14110000,Rejected
4504,1,Not Graduate,No,6690000,4490000,2,373,19480000,5150000,16930000.0,1770000,Rejected
4505,4,Not Graduate,Yes,1880000,5770000,6,512,13460000,14640000,14380000.0,14940000,Rejected
4506,4,Graduate,No,1540000,1150000,10,584,6600000,7010000,18130000.0,14760000,Approved
4507,3,Not Graduate,No,6450000,4430000,20,734,10900000,14260000,12680000.0,9430000,Approved
4508,2,Graduate,No,5820000,3860000,14,381,6870000,22540000,28420000.0,1260000,Rejected
4509,0,Graduate,No,2100000,5760000,14,745,17560000,18030000,2490000.0,6750000,Approved
4510,3,Not Graduate,No,5280000,300000,14,446,830000,8310000,8280000.0,4230000,Rejected
4511,1,Not Graduate,No,4010000,680000,18,603,8040000,11500000,23160000.0,16290000,Approved
4512,5,Graduate,Yes,7710000,4310000,14,493,3290000,5960000,12450000.0,8470000,Rejected
4513,0,Not Graduate,Yes,5940000,4940000,10,718,12090000,24030000,25190000.0,14680000,Approved
4514,0,Not Graduate,No,810000,6640000,14,437,7220000,12340000,22620000.0,900000,Rejected
4515,2,Graduate,No,5160000,5650000,18,863,4080000,13010000,14230000.0,11230000,Approved
4516,4,Graduate,No,6100000,5720000,20,872,13640000,12770000,25930000.0,7840000,Approved
4517,5,Graduate,Yes,8320000,3730000,8,342,9780000,22320000,21550000.0,16720000,Rejected
4518,0,Not Graduate,Yes,3950000,350000,18,773,6670000,18090000,24900000.0,9660000,Approved
4519,3,Graduate,No,5110000,300000,6,707,13400000,2620000,16510000.0,17840000,Approved
4520,2,Graduate,No,7390000,4440000,14,405,7040000,16760000,11790000.0,1020000,Rejected
4521,1,Graduate,Yes,6110000,2700000,12,544,13740000,18270000,19510000.0,9660000,Rejected
4522,1,Graduate,Yes,4180000,6920000,4,417,15850000,15190000,8430000.0,18590000,Rejected
4523,0,Graduate,Yes,1470000,900000,20,556,14550000,20600000,17660000.0,3940000,Approved
4524,2,Graduate,Yes,4620000,3290000,20,834,8720000,22860000,10620000.0,14800000,Approved
4525,1,Not Graduate,Yes,4950000,6260000,9,895,18740000,13320000,16140000.0,5410000,Approved
4526,2,Not Graduate,Yes,3850000,2480000,2,363,6320000,12110000,740000.0,5950000,Rejected
4527,2,Graduate,Yes,4170000,1440000,12,549,2570000,20000000,24960000.0,250000,Approved
4528,1,Graduate,Yes,6850000,2710000,20,832,3350000,22440000,7370000.0,11340000,Approved
4529,1,Not Graduate,No,6970000,1010000,6,606,18450000,12050000,26470000.0,17550000,Approved
4530,0,Graduate,Yes,2530000,2660000,14,605,2080000,7810000,12240000.0,15300000,Approved
4531,3,Graduate,Yes,8130000,2980000,6,876,1070000,4850000,23000000.0,5350000,Approved
4532,3,Graduate,No,8170000,260000,6,866,2980000,7640000,7330000.0,5670000,Approved
4533,5,Graduate,Yes,8770000,4190000,2,895,3250000,13430000,10110000.0,19670000,Approved
4534,4,Graduate,Yes,8620000,3930000,18,473,3230000,10720000,3090000.0,250000,Rejected
4535,2,Not Graduate,No,7660000,6860000,16,554,15930000,23130000,16830000.0,12260000,Rejected
4536,4,Graduate,Yes,8030000,2400000,14,725,17260000,6630000,3630000.0,5520000,Approved
4537,1,Graduate,Yes,7190000,440000,14,851,11040000,15320000,21930000.0,15860000,Approved
4538,4,Graduate,Yes,3810000,3340000,20,699,7360000,15870000,1810000.0,5210000,Approved
4539,0,Not Graduate,Yes,3760000,2750000,8,480,16270000,11950000,21890000.0,11290000,Rejected
4540,2,Graduate,No,6780000,3940000,10,739,770000,11550000,18110000.0,8600000,Approved
4541,2,Not Graduate,No,8080000,1050000,12,880,18700000,2540000,4310000.0,11820000,Approved
4542,1,Not Graduate,Yes,2060000,6270000,8,634,9320000,2920000,380000.0,18930000,Approved
4543,5,Graduate,No,6220000,6870000,6,508,16950000,20210000,9300000.0,680000,Rejected
4544,0,Graduate,Yes,3350000,4800000,8,304,4060000,9340000,16490000.0,11180000,Rejected
4545,1,Graduate,Yes,880000,2690000,14,368,8320000,20390000,1030000.0,12250000,Rejected
4546,1,Not Graduate,No,2460000,2150000,12,811,650000,16370000,26590000.0,10420000,Approved
4547,3,Not Graduate,No,3070000,880000,16,558,10860000,4450000,21170000.0,12620000,Rejected
4548,4,Not Graduate,Yes,2770000,1020000,10,512,7250000,18920000,17860000.0,14970000,Rejected
4549,2,Graduate,No,1840000,3080000,12,573,13620000,18030000,15330000.0,18670000,Approved
4550,3,Graduate,Yes,5330000,1860000,6,404,9540000,10370000,17350000.0,9150000,Rejected
4551,3,Graduate,No,3930000,2960000,20,507,14020000,4330000,25910000.0,12730000,Rejected
4552,0,Not Graduate,No,180000,2790000,10,525,9420000,1800000,16960000.0,6130000,Rejected
4553,2,Not Graduate,Yes,1480000,2360000,20,776,300000,6870000,25080000.0,6730000,Approved
4554,2,Not Graduate,No,6260000,5990000,14,657,16950000,16810000,26310000.0,3540000,Approved
4555,2,Not Graduate,No,3640000,850000,14,639,3250000,21630000,21300000.0,18120000,Approved
4556,0,Not Graduate,No,3740000,2510000,18,859,19590000,10470000,26700000.0,2760000,Approved
4557,3,Not Graduate,Yes,3300000,4530000,10,620,8050000,19700000,750000.0,4180000,Approved
4558,5,Graduate,Yes,1120000,2380000,4,704,300000,10360000,6550000.0,16060000,Approved
4559,5,Not Graduate,No,7900000,2970000,20,499,8370000,5920000,17360000.0,15850000,Rejected
4560,2,Not Graduate,Yes,7950000,3910000,12,801,19170000,3440000,25320000.0,1860000,Approved
4561,0,Not Graduate,No,4290000,350000,18,798,14480000,8550000,380000.0,1520000,Approved
4562,1,Graduate,Yes,2160000,6400000,16,320,1460000,8590000,920000.0,12230000,Rejected
4563,1,Not Graduate,No,7910000,4520000,2,605,12140000,6130000,7850000.0,870000,Approved
4564,4,Graduate,Yes,4870000,6770000,4,660,5350000,3010000,4830000.0,4670000,Approved
4565,4,Not Graduate,No,7800000,2260000,20,414,11860000,5870000,22540000.0,16200000,Rejected
4566,0,Not Graduate,Yes,390000,5500000,12,323,5300000,20010000,25630000.0,880000,Approved
4567,4,Not Graduate,Yes,6880000,400000,6,709,12510000,3280000,27180000.0,8920000,Approved
4568,0,Graduate,Yes,6430000,1880000,14,654,18060000,4810000,22390000.0,1950000,Approved
4569,4,Not Graduate,No,1640000,510000,20,326,11770000,3040000,19270000.0,2210000,Rejected
4570,4,Graduate,Yes,3590000,4040000,12,605,4750000,20840000,23930000.0,14980000,Approved
4571,3,Graduate,Yes,4100000,1460000,6,707,13590000,19320000,1170000.0,1460000,Approved
4572,1,Not Graduate,No,7510000,1370000,18,891,5930000,2450000,16400000.0,10040000,Approved
4573,3,Not Graduate,No,1600000,6040000,16,565,13670000,24350000,10890000.0,6700000,Approved
4574,5,Not Graduate,No,5300000,2150000,16,885,9370000,15210000,27450000.0,15540000,Approved
4575,3,Graduate,No,5040000,6750000,8,817,1880000,9600000,1200000.0,13520000,Approved
4576,5,Graduate,No,7670000,4780000,10,509,300000,21950000,26650000.0,17650000,Rejected
4577,1,Not Graduate,No,7730000,560000,16,544,4350000,10980000,8630000.0,7780000,Rejected
4578,0,Graduate,Yes,980000,5300000,20,514,16730000,7800000,24620000.0,9100000,Rejected
4579,0,Not Graduate,Yes,2020000,2350000,14,462,17170000,13870000,23990000.0,18560000,Rejected
4580,0,Graduate,No,8360000,6760000,6,833,15420000,10160000,580000.0,5870000,Approved
4581,2,Not Graduate,Yes,4880000,6080000,12,378,1010000,7530000,17630000.0,4070000,Rejected
4582,4,Graduate,Yes,1050000,2340000,2,490,12830000,12910000,20110000.0,18860000,Rejected
4583,0,Not Graduate,No,8910000,6910000,6,492,7110000,19250000,29370000.0,11990000,Rejected
4584,5,Not Graduate,Yes,5350000,6920000,18,577,610000,5960000,20770000.0,11980000,Approved
4585,5,Graduate,Yes,5080000,5830000,2,345,9910000,12680000,15130000.0,19050000,Approved
4586,5,Graduate,Yes,3020000,4570000,10,658,7740000,1280000,3820000.0,16720000,Approved
4587,1,Graduate,No,1420000,470000,10,346,17440000,5060000,9420000.0,2690000,Rejected
4588,3,Graduate,No,6740000,1220000,4,597,14770000,10180000,3820000.0,11940000,Approved
4589,5,Not Graduate,No,8910000,3150000,18,358,6390000,16030000,29310000.0,15940000,Rejected
4590,1,Not Graduate,No,1260000,5900000,20,674,16860000,17530000,15580000.0,19040000,Approved
4591,3,Graduate,Yes,5170000,260000,2,674,4900000,17960000,28070000.0,8100000,Approved
4592,3,Not Graduate,Yes,7490000,2430000,14,634,19830000,24550000,19100000.0,5100000,Approved
4593,4,Graduate,Yes,2340000,3780000,14,450,14730000,2050000,6630000.0,3790000,Rejected
4594,2,Not Graduate,Yes,1870000,3790000,14,849,1100000,2820000,15430000.0,2800000,Approved
4595,2,Not Graduate,Yes,650000,3520000,10,361,19010000,2620000,24990000.0,11920000,Rejected
4596,0,Not Graduate,Yes,6370000,2750000,8,610,9070000,23550000,29630000.0,18150000,Approved
4597,0,Not Graduate,Yes,5970000,760000,2,354,1050000,8480000,12330000.0,5100000,Rejected
4598,2,Graduate,Yes,7680000,6890000,8,599,1930000,17120000,11770000.0,7480000,Approved
4599,2,Not Graduate,No,5330000,3070000,2,777,14040000,10460000,26780000.0,6400000,Approved
4600,0,Not Graduate,Yes,3950000,5430000,2,784,13350000,22590000,12510000.0,14640000,Approved
4601,5,Not Graduate,No,3380000,830000,6,338,11640000,23200000,12000000.0,9970000,Rejected
4602,3,Graduate,No,2900000,6800000,8,626,14630000,18940000,16820000.0,17950000,Approved
4603,2,Graduate,Yes,3430000,6150000,18,556,14710000,12310000,9280000.0,7800000,Approved
4604,5,Graduate,Yes,1690000,520000,10,881,17020000,8290000,6610000.0,14100000,Approved
4605,3,Not Graduate,Yes,2370000,3520000,20,497,10040000,6930000,27300000.0,18300000,Approved
4606,5,Not Graduate,Yes,3550000,1370000,10,647,1190000,7070000,1190000.0,6940000,Approved
4607,4,Not Graduate,Yes,3100000,5560000,10,676,18260000,3360000,3190000.0,8670000,Approved
4608,1,Graduate,Yes,4720000,5990000,16,761,6820000,2820000,9170000.0,11750000,Approved
4609,1,Not Graduate,No,3380000,6540000,20,829,19040000,8520000,20800000.0,5330000,Approved
4610,5,Not Graduate,Yes,5720000,2000000,4,445,12490000,530000,21910000.0,14610000,Rejected
4611,2,Graduate,No,3270000,1230000,6,406,9670000,24450000,6490000.0,15310000,Rejected
4612,1,Not Graduate,No,8680000,6830000,18,703,8020000,24520000,26800000.0,9150000,Approved
4613,4,Not Graduate,No,8890000,3800000,14,342,19830000,8260000,22880000.0,17590000,Rejected
4614,4,Not Graduate,Yes,910000,1880000,18,397,18450000,4130000,6600000.0,15240000,Rejected
4615,3,Graduate,No,5180000,6710000,18,717,13610000,23630000,5240000.0,1840000,Approved
4616,4,Not Graduate,No,8180000,5360000,2,868,17560000,11290000,21200000.0,7600000,Approved
4617,2,Not Graduate,Yes,630000,6920000,16,455,17620000,340000,23120000.0,1130000,Rejected
4618,2,Graduate,Yes,2160000,5030000,12,558,8560000,2680000,4660000.0,2970000,Approved
4619,5,Graduate,No,4380000,5950000,10,805,6710000,13290000,8720000.0,10920000,Approved
4620,3,Not Graduate,No,2960000,1750000,20,811,9130000,4030000,11020000.0,11030000,Approved
4621,0,Graduate,No,8860000,6770000,14,515,7040000,15020000,26730000.0,18140000,Rejected
4622,2,Not Graduate,Yes,7830000,5520000,6,841,300000,7050000,9940000.0,2630000,Approved
4623,3,Graduate,No,7740000,6920000,12,478,6140000,340000,3280000.0,7230000,Rejected
4624,5,Not Graduate,No,330000,1050000,14,312,2640000,22880000,26650000.0,2640000,Rejected
4625,4,Not Graduate,Yes,1810000,3450000,10,406,13070000,16830000,22690000.0,10920000,Rejected
4626,3,Graduate,Yes,6470000,3580000,18,379,16870000,19750000,25870000.0,2170000,Rejected
4627,4,Not Graduate,No,5100000,1610000,14,798,9010000,17840000,14780000.0,16300000,Approved
4628,1,Graduate,Yes,6460000,620000,12,528,18250000,2700000,26430000.0,1490000,Rejected
4629,3,Graduate,No,6840000,1450000,10,387,5360000,17850000,24680000.0,11980000,Rejected
4630,4,Graduate,Yes,830000,5610000,6,759,18850000,14190000,1960000.0,5140000,Approved
4631,0,Not Graduate,No,900000,1320000,10,691,11450000,700000,29705600.000000015,18600000,Approved
4632,3,Graduate,Yes,8910000,2750000,12,564,7670000,16960000,8740000.0,800000,Approved
4633,0,Graduate,Yes,6690000,6410000,4,770,300000,18170000,10910000.0,17050000,Approved
4634,2,Graduate,Yes,7390000,320000,6,530,18790000,11850000,8840000.0,4580000,Rejected
4635,0,Not Graduate,No,7430000,1350000,6,774,12270000,3380000,18060000.0,2440000,Approved
4636,1,Not Graduate,No,7740000,1830000,12,756,7170000,7640000,1860000.0,11630000,Approved
4637,1,Graduate,Yes,5540000,1790000,10,315,300000,21390000,1150000.0,9360000,Rejected
4638,4,Graduate,Yes,390000,2940000,14,704,3980000,6980000,12930000.0,7590000,Approved
4639,5,Graduate,No,3970000,1540000,6,450,19740000,7270000,18740000.0,7940000,Rejected
4640,1,Graduate,Yes,410000,4080000,12,364,300000,12990000,15340000.0,2290000,Rejected
4641,2,Not Graduate,Yes,5680000,3730000,20,686,780000,10340000,3490000.0,7900000,Approved
4642,2,Not Graduate,No,4000000,2720000,20,648,16110000,6620000,18810000.0,4630000,Approved
4643,2,Not Graduate,No,8890000,3800000,16,378,17370000,9430000,15860000.0,9580000,Rejected
4644,3,Graduate,No,2510000,2450000,8,738,16240000,5200000,24350000.0,640000,Approved
4645,5,Graduate,Yes,4640000,6160000,18,647,11520000,12250000,5330000.0,12840000,Approved
4646,3,Graduate,No,7540000,1770000,8,830,1430000,13840000,22130000.0,9810000,Approved
4647,0,Not Graduate,Yes,2870000,6080000,12,653,7830000,9830000,27610000.0,2600000,Approved
4648,0,Not Graduate,Yes,7690000,3110000,12,718,5850000,1000000,3610000.0,4210000,Approved
4649,5,Graduate,Yes,5640000,5200000,8,349,1690000,21970000,22030000.0,7290000,Rejected
4650,3,Graduate,Yes,6470000,2290000,10,339,17080000,16710000,19570000.0,2320000,Rejected
4651,5,Graduate,Yes,5420000,5650000,6,439,7930000,24390000,18170000.0,11380000,Rejected
4652,1,Not Graduate,No,4340000,2290000,20,685,13630000,13540000,19070000.0,7340000,Approved
4653,3,Not Graduate,No,2800000,4210000,6,629,17430000,7600000,17250000.0,9050000,Approved
4654,1,Not Graduate,Yes,8550000,3170000,16,695,12320000,20980000,27630000.0,360000,Approved
4655,2,Graduate,No,5660000,800000,6,653,14120000,17630000,29705600.000000015,14420000,Approved
4656,0,Not Graduate,Yes,980000,4950000,20,760,11260000,22180000,26230000.0,16020000,Approved
4657,4,Graduate,Yes,200000,6120000,12,732,12170000,3100000,24040000.0,9780000,Approved
4658,0,Graduate,No,8580000,600000,8,429,1400000,18270000,13050000.0,15910000,Rejected
4659,5,Not Graduate,Yes,1490000,5370000,16,548,14000000,16710000,17740000.0,16950000,Rejected
4660,5,Graduate,Yes,1910000,3460000,20,798,1370000,16390000,14220000.0,16320000,Approved
4661,4,Graduate,Yes,2750000,420000,6,601,2750000,340000,11360000.0,6680000,Approved
4662,4,Graduate,No,3790000,2580000,14,431,5690000,17070000,19100000.0,19790000,Rejected
4663,1,Not Graduate,No,530000,1770000,20,824,15160000,8910000,16380000.0,250000,Approved
4664,4,Not Graduate,Yes,8550000,2250000,6,551,11910000,16170000,18970000.0,7340000,Approved
4665,5,Graduate,Yes,1590000,3350000,18,895,9460000,23390000,11730000.0,5800000,Approved
4666,2,Not Graduate,No,1660000,4070000,18,788,9730000,1470000,25480000.0,19710000,Approved
4667,2,Graduate,Yes,3310000,1660000,2,774,12120000,7550000,28040000.0,250000,Approved
4668,4,Graduate,Yes,4750000,2260000,6,509,12580000,14470000,26240000.0,4010000,Rejected
4669,0,Not Graduate,Yes,3490000,500000,8,880,2560000,3760000,8210000.0,9950000,Approved
4670,0,Graduate,No,7710000,6620000,16,389,4480000,3810000,28380000.0,13920000,Rejected
4671,1,Graduate,No,7770000,5890000,2,349,17860000,19620000,2700000.0,18190000,Approved
4672,3,Graduate,Yes,3700000,2660000,18,859,6660000,8850000,9660000.0,10920000,Approved
4673,5,Not Graduate,No,4020000,360000,4,866,7930000,1740000,12550000.0,1010000,Approved
4674,3,Not Graduate,No,1330000,4270000,6,331,17040000,14310000,17730000.0,2280000,Rejected
4675,2,Graduate,No,1190000,2740000,4,488,7880000,19540000,7990000.0,7380000,Rejected
4676,0,Not Graduate,Yes,7890000,6550000,2,668,5270000,24750000,13210000.0,760000,Approved
4677,1,Not Graduate,Yes,1580000,3710000,4,361,18650000,22950000,25640000.0,6280000,Rejected
4678,5,Not Graduate,Yes,2080000,4680000,20,822,7470000,14930000,28680000.0,10040000,Approved
4679,5,Not Graduate,No,4790000,1980000,18,330,970000,3370000,2700000.0,19790000,Rejected
4680,4,Not Graduate,No,8780000,5700000,6,342,18010000,18270000,14890000.0,2860000,Rejected
4681,3,Not Graduate,No,7300000,2030000,4,389,11310000,2660000,5350000.0,7370000,Approved
4682,4,Graduate,Yes,1880000,950000,16,375,1930000,14260000,26890000.0,16450000,Rejected
4683,5,Not Graduate,No,6360000,6720000,2,806,1480000,17640000,29520000.0,11590000,Approved
4684,0,Not Graduate,Yes,4550000,380000,8,850,19830000,23690000,19990000.0,12560000,Approved
4685,0,Graduate,Yes,8560000,2950000,18,574,2320000,14730000,10350000.0,2060000,Approved
4686,4,Not Graduate,No,2900000,6280000,14,792,6540000,21990000,14910000.0,4630000,Approved
4687,1,Graduate,Yes,5030000,2220000,10,668,8370000,20760000,9070000.0,19430000,Approved
4688,0,Not Graduate,Yes,8310000,920000,8,686,17180000,3700000,21690000.0,12420000,Approved
4689,3,Graduate,Yes,8430000,3340000,14,348,2470000,12130000,3770000.0,11350000,Rejected
4690,5,Graduate,No,3810000,880000,18,360,10390000,7350000,15190000.0,9400000,Rejected
4691,4,Graduate,Yes,8720000,4330000,18,368,17390000,18600000,17020000.0,3460000,Approved
4692,2,Not Graduate,No,2270000,290000,18,504,1040000,19940000,8850000.0,2120000,Rejected
4693,0,Graduate,Yes,5330000,2820000,10,605,18310000,8980000,19610000.0,2920000,Approved
4694,0,Graduate,No,3170000,680000,18,563,7280000,4170000,4810000.0,4380000,Approved
4695,2,Graduate,Yes,500000,400000,20,426,5150000,18640000,2650000.0,16760000,Rejected
4696,2,Not Graduate,No,8370000,2620000,18,642,10420000,18160000,25910000.0,15020000,Approved
4697,1,Graduate,No,5650000,6260000,4,351,9420000,1930000,8620000.0,17160000,Rejected
4698,2,Not Graduate,No,270000,6680000,20,325,15730000,22790000,14750000.0,10190000,Rejected
4699,1,Graduate,No,3270000,3600000,18,785,18410000,10170000,24550000.0,10710000,Approved
4700,5,Not Graduate,Yes,2290000,3180000,6,763,15630000,4060000,18630000.0,2760000,Approved
4701,4,Not Graduate,Yes,1280000,5310000,10,850,1530000,14180000,18720000.0,3900000,Approved
4702,0,Not Graduate,No,8250000,6460000,18,873,11850000,12360000,28710000.0,17860000,Approved
4703,3,Not Graduate,No,3200000,6700000,14,771,9100000,16120000,2880000.0,6150000,Approved
4704,1,Graduate,Yes,5210000,2840000,8,710,810000,9810000,26040000.0,16520000,Approved
4705,3,Not Graduate,No,2790000,800000,8,495,10300000,2100000,27880000.0,14540000,Rejected
4706,2,Not Graduate,Yes,1560000,5030000,14,554,12940000,7850000,19150000.0,17670000,Approved
4707,3,Graduate,Yes,5930000,3550000,14,651,5380000,9330000,11800000.0,5320000,Approved
4708,2,Not Graduate,No,6000000,4000000,6,547,9230000,22240000,1850000.0,17520000,Approved
4709,2,Graduate,No,2780000,4740000,18,620,13460000,5120000,9890000.0,3330000,Approved
4710,0,Graduate,No,2510000,1370000,10,780,3950000,5480000,18920000.0,10520000,Approved
4711,4,Not Graduate,No,6490000,380000,16,658,11900000,17080000,9480000.0,470000,Approved
